Year,Jurisdiction,YesComputerScore,YesComputerPercentage,NoComputerScore,NoComputerPercentage,YesInternetScore,YesInternetPercentage,NoInternetScore,NoInternetPercentage
2019,Alaska,,,,,,,,
2019,Colorado,,,,,,,,
2019,Montana,,,,,,,,
2019,New Hampshire,,,,,,,,
2019,South Dakota,,,,,,,,
2019,Utah,,,,,,,,
2019,Connecticut,291.1109482,87.44930742,255.7832266,12.55069258,287.0504861,98.81996254,,1.180037463
2019,Massachusetts,299.2579808,88.03463357,264.9766663,11.96536643,295.6543593,98.79441081,,1.205589192
2019,New Jersey,295.9726885,89.67527097,259.256573,10.32472903,292.7071049,98.61292198,,1.38707802
2019,Rhode Island,281.1403816,84.98897149,248.0498649,15.01102851,276.9030272,97.8440651,,2.155934899
2019,Minnesota,294.4949108,84.68657003,272.9533734,15.31342997,291.7771276,97.69631514,,2.303684856
2019,New York,284.3450081,85.95737236,260.0021632,14.04262764,281.5659633,97.69078392,249.943133,2.309216076
2019,Pennsylvania,290.0061562,86.07097638,255.5557444,13.92902362,286.0263961,97.67134585,253.1567742,2.328654151
2019,Maryland,285.0382211,84.04938482,256.5293016,15.95061518,281.0792424,97.64407468,248.9578444,2.35592532
2019,Nebraska,288.7509418,83.49561054,268.5893923,16.50438946,285.9048849,97.46894332,263.275687,2.531056685
2019,North Dakota,288.6273789,84.34701397,269.489554,15.65298603,286.4752669,97.3140003,,2.685999696
2019,Delaware,280.7832802,81.07452427,260.6995184,18.92547573,277.7198786,97.22013738,247.9940993,2.779862622
2019,Virginia,290.0941933,87.20261779,268.1613098,12.79738221,288.1489759,97.19626354,257.7117719,2.803736455
2019,Vermont,290.0226553,84.52023785,268.8211528,15.47976215,287.6361338,97.1344962,254.8985366,2.865503798
2019,Illinois,286.3743598,84.66398512,262.9485966,15.33601488,283.5922314,97.1190408,254.1754391,2.880959199
2019,Wisconsin,292.848078,85.20554897,266.4655317,14.79445103,289.595224,97.05859405,266.0107749,2.941405951
2019,Florida,282.4433774,85.14540882,257.6426859,14.85459118,279.6009184,97.04712373,252.8220727,2.952876268
2019,District of Columbia,274.2223678,79.85710897,251.8491526,20.14289103,270.1316659,97.02596077,,2.974039227
2019,Ohio,290.0755191,85.27117981,261.7041504,14.72882019,286.6591216,97.01765435,258.5533558,2.982345647
2019,California,281.2069518,81.34702205,252.6038207,18.65297795,276.80699,97.01134195,243.8220114,2.988658049
2019,Michigan,283.801867,84.28897959,261.6165383,15.71102041,281.2223647,96.95586672,252.7519347,3.044133284
2019,Washington,289.6014415,84.62579889,267.9005963,15.37420111,287.26483,96.92565217,252.0290127,3.074347827
2019,Georgia,283.1127676,83.73152831,262.9868943,16.26847169,280.2984663,96.74752096,269.0369876,3.252479037
2019,Maine,285.2081668,81.6994959,270.6710642,18.3005041,283.4704347,96.72527292,253.3598888,3.274727075
2019,National,286.2063449,82.89899609,262.3762162,17.10100391,282.9782762,96.7175142,256.6044624,3.282485802
2019,Wyoming,290.2978167,78.66671072,272.3219172,21.33328928,287.3482884,96.35580839,263.0674805,3.64419161
2019,Louisiana,276.3941956,76.20777065,257.3659651,23.79222935,272.6833912,96.33647982,251.6257091,3.663520184
2019,Oregon,283.923072,80.12874829,262.409191,19.87125171,280.2428715,96.32941737,260.0316259,3.67058263
2019,West Virginia,275.2871665,81.49190485,260.0486599,18.50809515,273.0316138,96.3039871,257.421316,3.696012901
2019,North Carolina,287.9162625,82.56273596,265.4480819,17.43726404,284.9025321,96.20573557,259.1273576,3.794264431
2019,Nevada,278.1378939,79.78782077,258.445789,20.21217923,274.8019038,96.2018143,252.4232081,3.798185699
2019,Hawaii,280.5785598,79.89795446,255.4499349,20.10204554,276.929078,96.0637656,242.7365895,3.936234398
2019,Tennessee,284.3570043,78.23589232,265.1722796,21.76410768,280.9288394,95.91242489,262.3346043,4.087575111
2019,Indiana,288.8757461,81.30173992,272.2576978,18.69826008,286.523275,95.8986685,268.5989121,4.101331502
2019,South Carolina,279.5730463,85.41330333,259.3236379,14.58669667,278.0744803,95.82364946,244.4534333,4.176350545
2019,Kansas,285.8511999,80.19833254,267.7947477,19.80166746,283.2156252,95.65943176,262.1419027,4.340568242
2019,Kentucky,282.2865926,79.16802109,262.9744622,20.83197891,279.1362558,95.53959912,257.7586705,4.460400881
2019,Arizona,285.3045821,78.07402523,262.4901301,21.92597477,281.3594425,95.51452831,255.2980574,4.485471686
2019,Iowa,285.5525008,84.60506478,263.1433488,15.39493522,283.209736,95.17709324,259.1718456,4.822906761
2019,Texas,284.2909607,75.29593621,265.6275995,24.70406379,280.6208157,95.04711685,262.9956754,4.952883149
2019,Alabama,273.1207795,79.59372116,252.9181797,20.40627884,269.6112589,94.78494957,257.0442629,5.215050432
2019,Mississippi,277.05954,76.79101026,263.6508984,23.20898974,274.8014971,94.71617748,257.5881032,5.28382252
2019,Idaho,290.0890969,83.38155006,266.0526193,16.61844994,287.1123679,94.5615536,267.7472281,5.438446396
2019,Missouri,284.3488889,83.52909791,263.7049434,16.47090209,282.4843959,94.45419241,254.7155595,5.54580759
2019,Oklahoma,281.0313051,74.5949986,263.8382979,25.4050014,277.877841,93.60321564,257.3908528,6.396784365
2019,New Mexico,273.8967143,73.51902045,254.9656447,26.48097955,269.9507067,93.33390157,254.022143,6.666098432
2019,Arkansas,278.1877476,78.69433437,260.9331262,21.30566563,275.6172925,93.01936945,258.9865231,6.980630554
2017,National,286.7610821,84.61123232,263.4914689,15.38876768,284.1903238,95.63210395,259.9061801,4.36789605
2017,Alabama,272.0872867,79.18761239,255.3049517,20.81238761,270.0161428,91.58156614,251.9929956,8.418433859
2017,Alaska,,,,,,,,
2017,Arizona,287.2937479,80.68941892,263.1907263,19.31058108,283.8039962,94.48193139,259.9324707,5.518068605
2017,Arkansas,277.5457086,77.71205752,262.2390748,22.28794248,275.3565531,90.60977999,260.7291463,9.390220015
2017,California,281.4266618,84.30763569,253.6249449,15.69236431,278.2617054,95.77702661,250.1690359,4.222973393
2017,Colorado,,,,,,,,
2017,Connecticut,287.820996,89.05932612,259.4823244,10.94067388,284.9805423,98.70645642,,1.293543583
2017,Delaware,281.4433192,83.58201737,262.6401762,16.41798263,278.86513,96.92186501,258.8207265,3.078134988
2017,District of Columbia,271.2827432,81.56569062,246.9572535,18.43430938,268.2951979,96.08512399,,3.914876014
2017,Florida,282.0395867,85.81883079,263.0835674,14.18116921,280.2529671,95.79198574,257.8702591,4.208014263
2017,Georgia,284.0112836,84.89829919,265.4617516,15.10170081,281.8513829,96.22483805,262.0729747,3.77516195
2017,Hawaii,281.2374642,81.63952236,261.6958832,18.36047764,278.4902916,95.63452598,256.7642536,4.365474024
2017,Idaho,288.4085012,83.30767193,266.1956825,16.69232807,286.0348034,94.14305351,260.4180389,5.856946485
2017,Illinois,285.1721933,85.95779216,260.8784004,14.04220784,282.5040762,96.55391296,260.5797529,3.446087042
2017,Indiana,290.1073247,85.89807575,275.073637,14.10192425,289.0692719,94.47188165,268.9865578,5.528118349
2017,Iowa,289.111846,87.81485419,266.910478,12.18514581,287.3989626,95.87362077,264.1033161,4.126379229
2017,Kansas,288.3116708,82.47622777,271.3471043,17.52377223,286.3274593,94.48431211,267.5256117,5.515687893
2017,Kentucky,282.0321004,79.3888647,261.9576371,20.6111353,278.9177812,92.25370543,264.7348697,7.746294574
2017,Louisiana,,,,,,,,
2017,Maine,286.1843783,84.95676532,273.4772523,15.04323468,285.4274215,95.23112284,262.2085341,4.768877161
2017,Maryland,284.635122,88.064077,257.2471879,11.935923,282.3130347,96.98874246,250.6766222,3.01125754
2017,Massachusetts,300.7360986,90.08806533,267.4611457,9.911934673,297.7976614,98.66020474,270.988361,1.339795259
2017,Michigan,283.3376475,84.78009536,259.770029,15.21990464,280.6366628,95.17391171,261.7584149,4.826088291
2017,Minnesota,297.1449887,87.67947874,272.2373219,12.32052126,294.8362587,97.01218342,271.261059,2.987816585
2017,Mississippi,274.2695744,77.89826498,259.4809176,22.10173502,271.6910593,92.56197875,262.7563366,7.43802125
2017,Missouri,283.6656221,82.96928534,266.8887652,17.03071466,281.8408239,94.26730247,265.412799,5.732697526
2017,Montana,,,,,,,,
2017,Nebraska,292.8809,82.98629517,268.1830836,17.01370483,290.0396583,95.21227968,258.527516,4.787720317
2017,Nevada,279.9563664,81.09202381,258.0577747,18.90797619,277.0370116,95.45680923,247.8641791,4.54319077
2017,New Hampshire,295.7919703,91.00647841,271.2563059,8.993521593,294.010044,98.11945229,,1.880547708
2017,New Jersey,295.2063761,89.97690964,261.8192901,10.02309036,292.540579,98.37249382,,1.627506182
2017,New Mexico,273.707833,75.17135992,257.5508737,24.82864008,271.2904338,90.85847995,252.9888367,9.14152005
2017,New York,285.8924902,86.34710719,258.4313792,13.65289281,282.7525109,96.84490923,261.7749031,3.155090765
2017,North Carolina,285.826834,84.41896749,262.3884867,15.58103251,283.7835819,95.83291362,245.4150023,4.16708638
2017,North Dakota,291.4736961,86.99440123,267.9368661,13.00559877,289.1788937,95.99437069,268.0280314,4.00562931
2017,Ohio,292.7106561,85.53040669,259.8663097,14.46959331,288.8564075,96.45096695,262.5548395,3.549033051
2017,Oklahoma,279.3195849,75.72738301,260.7878375,24.27261699,276.9349909,90.29867836,254.5138082,9.701321641
2017,Oregon,286.4331939,80.60622666,264.9792477,19.39377334,283.202825,96.24609371,260.2913382,3.75390629
2017,Pennsylvania,289.792968,85.5682172,268.3480345,14.4317828,287.3126885,97.37312971,261.2559316,2.62687029
2017,Rhode Island,281.788453,85.3124524,253.526831,14.6875476,278.2987266,97.16193322,,2.838066782
2017,South Carolina,277.2550463,86.93630013,260.1378356,13.06369987,275.8302064,94.47983655,259.3063187,5.520163455
2017,South Dakota,,,,,,,,
2017,Tennessee,282.1660109,79.64985105,267.3998995,20.35014895,280.1450152,93.12329242,265.2497573,6.876707578
2017,Texas,286.6866524,77.24255755,268.308918,22.75744245,283.6045784,93.49647529,265.280886,6.503524706
2017,Utah,,,,,,,,
2017,Vermont,290.728813,87.66950002,267.6214477,12.33049998,288.8977698,95.88403183,262.4689718,4.115968175
2017,Virginia,293.7969002,87.02223665,267.3505519,12.97776335,291.4843315,95.52176828,264.4322821,4.478231722
2017,Washington,292.8394581,85.92927326,267.1079935,14.07072674,290.2761108,95.54688102,265.4730505,4.453118985
2017,West Virginia,276.7446361,81.66006182,259.5203838,18.33993818,274.6418339,93.52456489,257.72202,6.475435109
2017,Wisconsin,291.6166603,88.16974554,265.5160943,11.83025446,289.3307315,95.82341092,267.8803515,4.176589076
2017,Wyoming,,,,,,,,
2015,National,285.0707567,88.01801533,262.4248346,11.98198467,284.0862059,91.9666104,260.903785,8.0333896
2015,Alabama,268.6653219,83.93474075,255.7809506,16.06525925,268.3216835,91.12040178,248.4292856,8.879598217
2015,Alaska,,,,,,#,280.7252662,99.75369348
2015,Arizona,286.9674057,84.05555914,262.7290366,15.94444086,285.4283057,90.99700261,257.5618497,9.00299739
2015,Arkansas,277.8102257,83.03202994,261.9424263,16.96797006,277.3933768,89.15718844,255.9172093,10.84281156
2015,California,278.2754542,87.66756558,255.8644074,12.33243442,277.264516,92.76651286,250.4455979,7.233487139
2015,Colorado,288.8505252,88.54238544,261.4761003,11.45761456,287.828022,92.8990062,255.5954456,7.100993801
2015,Connecticut,286.6434021,92.8899211,248.8463328,7.110078895,285.2765053,97.08903612,239.9366072,2.910963877
2015,Delaware,282.3760187,87.30391473,263.9018124,12.69608527,281.2736731,94.73490758,254.0577935,5.265092418
2015,District of Columbia,267.7434481,84.17982731,247.120942,15.82017269,267.4045508,89.14982907,227.7333137,10.85017093
2015,Florida,277.7223708,88.51759543,257.5819257,11.48240457,277.1012574,92.64245862,252.9431951,7.357541381
2015,Georgia,281.131508,87.57210372,263.1831604,12.42789628,280.1708841,93.36654356,258.175001,6.633456437
2015,Hawaii,282.3582119,87.06990323,259.6938968,12.93009677,281.7418914,92.94223121,247.7120664,7.057768788
2015,Idaho,286.6269581,88.48283978,264.3717496,11.51716022,285.3936693,92.75111343,262.6130126,7.248886566
2015,Illinois,284.9226137,89.29098848,258.5622208,10.70901152,283.8588895,94.7833221,247.6227584,5.2166779
2015,Indiana,289.9383764,85.3577787,271.9375734,14.6422213,289.0654009,92.24147642,264.702521,7.758523583
2015,Iowa,288.532235,90.54134415,266.2964202,9.458655849,287.9730515,94.33553389,260.4888814,5.664466115
2015,Kansas,286.1300835,85.91245887,271.1556342,14.08754113,285.8291859,92.06723251,261.1456236,7.932767488
2015,Kentucky,279.9785203,84.7972676,267.3743696,15.2027324,278.783359,92.51862692,267.6822893,7.481373084
2015,Louisiana,270.8935771,82.60004844,256.9075828,17.39995156,269.8740031,91.36328445,253.1819172,8.636715553
2015,Maine,286.7915042,86.80922071,272.8408927,13.19077929,286.5824082,93.15141993,261.658538,6.848580066
2015,Maryland,285.6378583,91.15560198,261.5604179,8.84439802,284.7618937,95.04795306,252.1923402,4.952046943
2015,Massachusetts,300.0415911,92.28806631,264.8145963,7.71193369,298.9367418,96.61140853,239.0838395,3.388591469
2015,Michigan,280.3520324,88.71938941,262.7025594,11.28061059,279.6035094,93.51932043,257.4629697,6.480679574
2015,Minnesota,296.2350637,91.58920875,272.4928674,8.410791248,296.0369903,95.38237208,255.1239434,4.617627925
2015,Mississippi,271.8713918,82.30236896,264.6562086,17.69763104,272.2357488,87.75433503,258.7185614,12.24566497
2015,Missouri,284.2687827,84.33477973,262.9644133,15.66522027,282.9952745,91.51937475,257.3621545,8.480625253
2015,Montana,289.8117439,88.11298224,270.1918125,11.88701776,288.8052297,92.40225286,271.1523108,7.597747144
2015,Nebraska,289.2473239,88.53173301,266.296902,11.46826699,288.2235472,93.09483795,263.2424726,6.905162045
2015,Nevada,278.1390377,84.78737315,258.428676,15.21262685,277.2263391,93.47239591,245.7527657,6.52760409
2015,New Hampshire,296.7329159,92.53347982,266.9985859,7.46652018,295.5444981,96.59667356,262.2982213,3.403326435
2015,New Jersey,295.3298116,94.73537499,262.0194614,5.264625012,294.8441621,97.53624482,,2.463755181
2015,New Mexico,274.1645473,80.73131606,257.615678,19.26868394,273.8091058,87.27552903,250.9274362,12.72447097
2015,New York,282.6202279,90.70208134,260.6950775,9.297918658,281.8603896,94.60539101,249.0281767,5.394608993
2015,North Carolina,285.1213132,86.23043761,259.5446049,13.76956239,283.7903824,92.44040094,251.2583488,7.559599059
2015,North Dakota,290.6798022,89.95063445,265.635277,10.04936555,289.4397929,95.32742976,263.8511852,4.672570236
2015,Ohio,288.0419652,87.66907126,265.0400881,12.33092874,287.0182851,92.58976228,260.6272253,7.410237719
2015,Oklahoma,278.3541873,77.3889163,261.9769674,22.6110837,277.0991861,86.52862322,258.4433056,13.47137678
2015,Oregon,285.5804567,87.48928078,264.5557497,12.51071922,284.2591141,93.39826474,262.3828242,6.601735262
2015,Pennsylvania,286.6959681,89.4319404,259.3092128,10.5680596,285.5369531,94.13170812,253.6957001,5.868291876
2015,Rhode Island,284.2782832,89.68086309,259.4784149,10.31913691,283.1431632,95.65204234,244.0916426,4.347957663
2015,South Carolina,277.9721747,86.71423349,263.4017686,13.28576651,277.4915693,92.58448276,255.0561401,7.415517242
2015,South Dakota,286.6068931,88.86476755,269.1259315,11.13523245,286.3861691,92.45944937,263.2477603,7.540550627
2015,Tennessee,281.4145739,84.11256479,261.5397806,15.88743521,280.4395084,91.05951698,255.7553345,8.940483021
2015,Texas,287.8249441,81.64142403,266.8921394,18.35857597,286.2222719,90.87408544,259.6087021,9.125914565
2015,Utah,,,,,,,286.173147,99.82851108
2015,Vermont,293.0910437,89.05270737,271.2296704,10.94729263,292.1082737,93.49641305,265.1526486,6.503586951
2015,Virginia,291.199443,89.06261444,262.6042249,10.93738556,290.056422,92.97389138,257.4836385,7.026108616
2015,Washington,289.4455784,89.47997748,264.102323,10.52002252,288.3960369,93.52119491,259.3331269,6.478805089
2015,West Virginia,273.4777173,86.13743915,259.6639844,13.86256085,272.6345134,93.35323562,254.8242752,6.646764378
2015,Wisconsin,291.6678957,90.60167907,266.2264728,9.398320935,290.5197046,95.31429406,259.7462125,4.685705939
2015,Wyoming,288.7635426,86.99861657,273.4333142,13.00138343,287.9946303,92.98680598,269.0577056,7.013194023
2013,National,286.4652594,92.29882398,263.9288906,7.701176022,286.6614078,92.21223055,260.2792166,7.787769446
2013,Alabama,271.0215232,90.43491038,254.0102562,9.565089616,271.9330495,88.2406154,248.6429798,11.7593846
2013,Alaska,,,,,,,281.6301328,99.8607034
2013,Arizona,282.3985991,88.62297833,259.2025781,11.37702167,282.9716082,88.51317134,254.6840773,11.48682866
2013,Arkansas,279.2961396,88.58616118,267.3146156,11.41383882,279.5056629,88.98650092,265.0610216,11.01349908
